title,review,price,rating_value,link
It's Not Supposed to Be This Way,"17,754",0,4.8,./index_files/81H+6JUdfFL._AC_UY218_.jpg
Money: Master the Game: 7 Simple Steps to Financial Freedom,"11,580",0,4.6,./index_files/91S7IaFislL._AC_UY218_.jpg
Do It For Yourself (Guided Journal): A Motivational Journal (Start Before You’re Ready),"1,542",15,4.7,./index_files/519dr3cjUfL._AC_UY218_.jpg
The Power of Your Subconscious Mind,"69,015",5,4.6,./index_files/610mObHZ-JL._AC_UY218_.jpg
Captivating Expanded Edition: Unveiling the Mystery of a Woman's Soul,"3,665",12,4.7,./index_files/61KOxxYOIKL._AC_UY218_.jpg
Winning: The Unforgiving Race to Greatness,"3,326",0,4.8,./index_files/81EHXGSu-AS._AC_UY218_.jpg
Becoming,"140,084",0,4.8,./index_files/71rm0H5uOaL._AC_UY218_.jpg
33 Strategies of War,"4,075",0,4.8,./index_files/71YfEidUvAL._AC_UY218_.jpg
Discipline Equals Freedom: Field Manual Mk1-MOD1,"6,307",18,4.8,./index_files/81wJNvaVFyL._AC_UY218_.jpg
What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,"11,930",0,4.6,./index_files/81ZbVFvRCpL._AC_UY218_.jpg
Magic Words,9,28,4.1,./index_files/81iv6m-8bNL._AC_UY218_.jpg
Find Your People: Building Deep Community in a Lonely World,"2,741",0,4.7,./index_files/71o6J8F6fZL._AC_UY218_.jpg
The Choice: Escaping the Past and Embracing the Possible,"24,332",0,4.8,./index_files/81O0R2LZtSL._AC_UY218_.jpg
The Speed of Trust: The One Thing that Changes Everything,"3,510",0,4.6,./index_files/51U7ZPdd9HL._AC_UY218_.jpg
How to Starve Cancer: ...and Then Kill It With Ferroptosis,559,18,4.6,./index_files/71VDs-5s59S._AC_UY218_.jpg
Leadership Strategy and Tactics: Field Manual,"7,129",0,4.9,./index_files/71Ft8gbGqOL._AC_UY218_.jpg
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,"34,155",0,4.5,./index_files/A1Iou9K8hdL._AC_UY218_.jpg
"How to Be Love(d): Simple Truths for Going Easier on Yourself, Embracing Imperfection & Loving Your Way to a Better Life",122,0,4.7,./index_files/912ft4TBtuL._AC_UY218_.jpg
"Rising Strong: How the Ability to Reset Transforms the Way We Live, Love, Parent, and Lead","8,380",0,4.8,./index_files/71OwUazZsuL._AC_UY218_.jpg
